,0.1,0.2,0.3,0.4
QF85-SPSC-L4-JUNI,0.4398,0.3352,0.2207,0.1160
QF85-SPSC-L16-JUNI,0.4400,0.3380,0.2220,0.1179
QF85-STC-H8-JUNI,0.4345,0.3208,0.2000,0.0952
QF85-STC-H12-JUNI,0.4389,0.3327,0.2133,0.1104
QF85-SPSC-L4-UERD,0.4285,0.3241,0.2148,0.1189
QF85-SPSC-L16-UERD,0.4302,0.3254,0.2147,0.1195
QF85-STC-H8-UERD,0.4229,0.3094,0.1945,0.0997
QF85-STC-H12-UERD,0.4288,0.3200,0.2083,0.1135
QF90-SPSC-L4-JUNI,0.4562,0.3705,0.2650,0.1538
QF90-SPSC-L16-JUNI,0.4553,0.3719,0.2648,0.1562
QF90-STC-H8-JUNI,0.4520,0.3593,0.2434,0.1300
QF90-STC-H12-JUNI,0.4564,0.3680,0.2589,0.1470
QF90-SPSC-L4-UERD,0.4461,0.3570,0.2498,0.1485
QF90-SPSC-L16-UERD,0.4461,0.3561,0.2503,0.1505
QF90-STC-H8-UERD,0.4425,0.3430,0.2297,0.1258
QF90-STC-H12-UERD,0.4462,0.3517,0.2434,0.1414
